Days,Priority
3.3,High
7.9,Medium
0.3,High
0.7,Medium
8.6,Medium
0.3,High
0.3,High
0.3,High
72.9,High
15.9,Medium
9.3,High
0.3,Medium
0.3,Medium
1.3,Medium
23.2,Low
5.3,Low
5.3,High
9.3,High
4.6,High
9.9,High
4.6,Low
0.9,High
2.8,High
1.8,Low
0.2,Medium
0.9,High
17,Low
6,High
2.3,High
7.4,Medium
0.2,Medium
10.1,Medium
0.9,Medium
0.9,High
0.9,High
9.7,High
3.2,High
28.5,Low
8.3,High
16.6,Medium
12,High
6,High
6,High
0.5,High
0.5,High
2.3,High
3.2,High
8.3,High
6.4,High
6.9,High
0.1,Medium
1,Medium
9.8,High
8.6,High
5.5,Low
2.3,High
1.2,High
2.7,Low
0.1,Medium
0.1,Medium
5.3,Medium
0.1,Medium
2.7,Medium
0.1,High
0.1,Medium
9.8,Low
0.6,Medium
0.1,High
8,High
1,Medium
0.4,Medium
1.8,Medium
1,High
0.4,Medium
0.4,Medium
1.2,High
3.1,Medium
2.1,Medium
2.5,High
0.6,Medium
0.1,Low
10.5,Medium
2.9,High
6.4,High
4.5,High
0.4,High
0.2,High
11.9,Medium
0.1,Medium
2.9,High
0.4,High
0.2,High
2.1,High
2.9,Medium
2.5,High
33.2,Medium
2.9,High
17.2,Low
1,High
7.2,Medium
2.7,High
0.2,Medium
0.2,High
0.2,Medium
1.8,Medium
0.4,High
0.4,High
0.2,Medium
0.2,Medium
0.9,High
16.2,Low
0.2,High
0.4,Medium
1.3,High
0.2,Medium
0.4,Medium
8.5,Medium
0.9,High
0.4,High
0.4,Medium
66.6,High
11.2,High
28.3,Medium
0.2,Medium
0.2,High
0.2,High
22.5,High
0.4,Low
2.7,Medium
0.2,High
0.2,High
0.6,Medium
0.3,High
8.4,Medium
2.6,Medium
2.6,Medium
0.6,High
0.3,High
3.2,High
0.6,Medium
1.3,Medium
0.3,Medium
0.3,High
0.3,High
0.3,High
0.3,Medium
0.6,High
0.6,High
9.6,High
7.7,High
3.2,Medium
0.3,Medium
0.3,Medium
7.1,Medium
0.3,Low
62.7,High
3.9,High
16.1,High
1.6,Medium
1.4,Low
0.1,High
0.9,High
0.1,Medium
0.7,High
0.1,High
0.5,High
0.9,High
2.8,High
2.3,Medium
0.7,High
2.8,Medium
0.1,High
0.1,High
0.1,High
0.1,High
4.6,High
1.4,High
10,Medium
0.2,Medium
0.2,Medium
0.1,Medium
0.1,High
2.8,High
1.4,High
0.1,High
0.2,High
8.1,High
1.4,High
0.5,High
0.2,High
21.3,High
18.6,Medium
0.1,High
0.1,Medium
0.2,Medium
6.5,High
8.4,Medium
0.1,Medium
0.1,Medium
1.9,High
19.3,High
7.7,High
0.5,High
1.9,Medium
4.9,High
0.1,Low
14.4,Medium
0.1,High
0.1,High
0.1,High
0.6,Low
1.3,Low
0.6,High
1.1,Medium
2.1,High
1.4,Medium
0.2,High
0.1,High
1.6,High
3.6,Medium
0.1,High
1.6,High
0.1,Medium
0.2,High
1.1,Medium
0.5,Medium
0.5,Medium
0.5,Medium
0.5,Medium
0.4,Medium
0.5,Low
0.1,Medium
0.9,High
0.7,High
0.1,Medium
0.2,Medium
0.1,Medium
0.1,Low
0.3,Medium
0.3,Medium
0.4,Medium
1.6,Medium
0.1,High
0.1,High
0.1,High
0.1,High
0.1,Medium
7,High
0.1,High
0.5,High
0.1,High
0.1,Medium
0.1,Medium
0.7,Low
0.1,High
1.3,High
0.2,Medium
9.2,Low
0.1,High
2.1,Medium
0.1,High
0.3,Low
0.3,Low
0.3,Low
0.3,Low
3.5,Medium
3.8,Medium
0.3,Medium
7.5,High
7.5,High
5.8,Medium
4.5,Medium
1.6,Medium
0.1,High
0.1,High
11.8,Low
8.6,High
0.1,High
0.1,Low
0.1,High
11.3,Medium
0.2,Medium
0.1,High
0.1,High
8,Medium
7.5,Medium
3.4,Medium
1.2,Medium
0.1,High
6.7,Medium
2.9,Medium
0.5,Medium
2.2,Medium
0.2,High
0.1,High
0.1,High
0.1,High
5.7,High
11.7,Medium
1.1,High
0.7,High
0.6,High
0.6,Medium
0.7,High
1.9,High
3.1,High
0.3,Medium
5.3,High
3.4,Medium
0.9,Medium
20.3,High
14.7,High
0.2,High
0.3,High
0.2,High
0.9,High
0.2,High
0.2,High
0.9,High
11.5,Low
2.5,Medium
0.2,Medium
0.3,Medium
0.3,Low
0.3,High
4.7,High
0.3,High
0.2,High
0.6,High
0.2,Medium
0.2,High
26.8,Medium
2.8,High
1.9,Medium
20,Low
12.8,Low
11.2,Low
1.6,High
0.2,High
0.2,High
0.3,Low
0.2,Medium
0.3,Low
0.9,High
0.3,High
0.2,High
1.2,High
0.3,Medium
4.4,High
1.2,High
1.6,High
0.2,High
1.2,High
1.2,Low
0.2,Medium
1.8,Medium
0.6,High
0.2,High
0.3,High
1.2,High
0.2,Medium
0.3,Medium
0.2,High
0.3,High
0.2,High
1.2,High
0.2,Medium
0.3,Medium
0.3,Medium
0.3,Medium
0.2,Medium
0.2,Medium
0.2,High
0.2,Medium
1.2,Medium
0.2,Medium
1.5,Medium
0.3,Medium
0.2,Medium
0.2,High
0.3,Medium
2.1,Medium
0.6,High
0.3,High
0.2,Medium
3.6,Medium
0.2,High
0.2,Medium
0.2,Medium
0.2,Medium
0.3,Medium
0.2,Low
0.2,High
0.2,High
17.7,High
0.9,Medium
0.9,High
0.3,High
0.3,Medium
0.2,High
0.3,Low
0.2,High
0.9,Medium
0.2,Medium
0.3,High
1.5,Medium
1.5,Medium
0.3,Medium
2.1,High
2.1,Medium
0.9,High
0.9,High
3.3,High
1.5,Low
0.2,Medium
0.2,Low
23.3,Medium
2.1,Medium
7.5,Low
0.2,High
0.2,Low
0.3,High
0.2,High
0.3,Low
0.2,High
0.2,High
0.3,Medium
1.8,Medium
0.2,Medium
0.3,Low
0.3,Medium
0.2,High
0.2,Low
0.3,High
2.1,High
2.1,High
1.5,Medium
1.5,Medium
1.5,Medium
0.2,High
0.2,Medium
0.6,High
1.2,High
10.8,High
0.6,High
0.3,Medium
3.9,Medium
0.3,Medium
0.3,High
0.2,High
1.8,Low
2.7,Low
1.8,High
1.2,Medium
0.9,Medium
1.5,Medium
0.2,Medium
3.3,High
0.2,High
0.6,High
1.1,Medium
1.1,High
0.2,High
5.2,High
0.2,Medium
2.6,Medium
1.1,High
2.6,High
1.1,Medium
2.6,Medium
0.4,Medium
6.3,High
7,Medium
0.4,High
21.5,Medium
14.4,Medium
3.7,Low
0.2,Medium
7.8,Low
3.7,High
0.4,Medium
1.1,Medium
0.2,High
0.2,High
3,Medium
2.2,High
1.9,High
1.9,High
2.6,High
0.2,Medium
4,Low
0.4,Medium
2.4,High
3.2,High
0.4,High
0.2,Medium
0.8,High
2,Medium
1.2,Medium
2.8,Medium
2,High
0.2,High
0.4,Low
1.6,Low
1.6,Low
1.2,Low
0.2,High
3.2,High
3.2,Medium
0.4,High
0.2,Low
0.4,High
0.8,High
1.2,High
0.2,Medium
0.2,Medium
0.2,High
1.2,Medium
0.2,Medium
2.4,Medium
0.2,High
2.4,Medium
0.2,Medium
0.2,High
0.2,Medium
2,Medium
2,High
2,Medium
2,Medium
2,Medium
22.4,High
34.8,High
32,High
0.2,Medium
0.2,Medium
2.4,High
2.8,High
0.2,Medium
0.2,Medium
30.4,Medium
0.1,Medium
0.5,High
1.8,High
0.1,High
2.5,High
0.1,High
0.5,Medium
4.1,Medium
0.3,High
0.1,Medium
1.3,High
0.5,High
1.3,High
0.1,Medium
0.1,Medium
0.3,High
0.5,High
11.7,High
1,High
0.8,High
0.3,High
0.3,Medium
0.1,High
0.3,High
0.1,High
1.3,Medium
0.1,Medium
1,Low
0.1,Medium
0.1,Medium
6.3,High
0.1,High
0.8,Medium
0.8,Low
0.1,High
0.3,High
0.3,High
0.3,Medium
0.1,High
14.5,High
0.3,High
0.5,High
0.3,High
0.1,High
0.1,High
0.1,Medium
0.1,High
0.5,Medium
0.1,High
6.8,Low
2,High
0.3,High
0.1,High
0.8,High
8.4,Low
2.3,High
2.3,High
4.3,Medium
2.8,Medium
4.3,High
0.8,Low
0.1,Medium
0.8,High
0.8,High
0.8,Low
0.1,High
0.3,High
1.5,Medium
0.5,Low
0.5,Low
0.3,Medium
0.3,Medium
0.3,High
7.9,Low
2.8,Medium
0.3,Medium
1.3,Medium
0.1,High
0.3,Medium
1.3,Medium
0.3,Low
0.1,Medium
0.1,Low
0.1,High
0.1,High
0.1,High
2.8,High
0.3,Medium
0.1,High
26.4,High
0.1,High
0.3,High
1,High
2,Medium
2.5,Medium
0.1,High
0.1,Medium
2.5,Low
0.3,High
0.3,Medium
1.3,Medium
0.5,High
